Date,Name,Open,High,Low,Close,Adj_Close,30-day_arithmetic_returns,Volatility
2022-03-22,AAPL,165.5099945,169.4199982,164.9100037,168.8200073,167.5717316,-0.000365552,0.001097714
2022-03-23,AAPL,167.9900055,172.6399994,167.6499939,170.2100067,168.9514313,-0.000706663,0.001099547
2022-03-24,AAPL,171.0599976,174.1399994,170.2100067,174.0700073,172.7828979,-0.000227193,0.001103461
2022-03-25,AAPL,173.8800049,175.2799988,172.75,174.7200012,173.4281006,0.000683911,0.00115847
2022-03-28,AAPL,172.1699982,175.7299957,172.0,175.6000061,174.30159,0.001525743,0.001256123
2022-03-29,AAPL,176.6900024,179.0099945,176.3399963,178.9600067,177.6367188,0.002116111,0.001382381
2022-03-30,AAPL,178.5500031,179.6100006,176.6999969,177.7700043,176.4555359,0.001122718,0.001429137
2022-03-31,AAPL,177.8399963,178.0299988,174.3999939,174.6100006,173.3189087,0.000576489,0.001452338
2022-04-01,AAPL,174.0299988,174.8800049,171.9400024,174.3099976,173.0211334,0.001228191,0.001499124
2022-04-04,AAPL,174.5700073,178.4900055,174.4400024,178.4400024,177.1205902,0.002329834,0.001600804
2022-04-05,AAPL,177.5,178.3000031,174.4199982,175.0599976,173.765564,0.002292173,0.001681579
2022-04-06,AAPL,172.3600006,173.6300049,170.1300049,171.8300018,170.5594635,0.002539286,0.001739866
2022-04-07,AAPL,171.1600037,173.3600006,169.8500061,172.1399994,170.8671417,0.002043411,0.001757456
2022-04-08,AAPL,171.7799988,171.7799988,169.1999969,170.0899963,168.8323059,0.001214268,0.001748148
2022-04-11,AAPL,168.7100067,169.0299988,165.5,165.75,164.5244141,0.000309146,0.001738235
2022-04-12,AAPL,168.0200043,169.8699951,166.6399994,167.6600037,166.4202881,0.001080856,0.001721266
2022-04-13,AAPL,167.3899994,171.0399933,166.7700043,170.3999939,169.1400452,0.00093934,0.001727099
2022-04-14,AAPL,170.6199951,171.2700043,165.0399933,165.2899933,164.0678101,5.77e-06,0.0017269
2022-04-18,AAPL,163.9199982,166.6000061,163.5700073,165.0700073,163.8494568,0.000575011,0.001729271
2022-04-19,AAPL,165.0200043,167.8200073,163.9100037,167.3999939,166.1621857,0.001836096,0.001755566
2022-04-20,AAPL,168.7599945,168.8800049,166.1000061,167.2299957,165.9934845,0.002191458,0.00178699
2022-04-21,AAPL,168.9100037,171.5299988,165.9100037,166.4199982,165.1894531,0.000863415,0.001786494
2022-04-22,AAPL,166.4600067,167.8699951,161.5,161.7899933,160.593689,0.000842252,0.001789117
2022-04-25,AAPL,161.1199951,163.1699982,158.4600067,162.8800049,161.6756439,0.001863785,0.001802312
2022-04-26,AAPL,162.25,162.3399963,156.7200012,156.8000031,155.6405945,0.001504926,0.001623239
2022-04-27,AAPL,155.9100037,159.7899933,155.3800049,156.5700073,155.4122925,0.000466789,0.00140405
2022-04-28,AAPL,159.25,164.5200043,158.9299927,163.6399994,162.4300079,0.001004789,0.001243218
2022-04-29,AAPL,161.8399963,166.1999969,157.25,157.6499939,156.484314,-0.000430498,0.001069538
2022-05-02,AAPL,156.7100067,158.2299957,153.2700043,157.9600067,156.7920227,-0.001062254,0.001035068
2022-05-03,AAPL,158.1499939,160.7100067,156.3200073,159.4799957,158.300766,-0.001026089,0.001023285
2022-05-04,AAPL,159.6699982,166.4799957,159.2599945,166.0200043,164.7924194,-0.0003525,0.001022726
2022-05-05,AAPL,163.8500061,164.0800018,154.9499969,156.7700043,155.6108093,-0.002484157,0.001161754
2022-05-06,AAPL,156.0099945,159.4400024,154.1799927,157.2799988,156.3464203,-0.003082512,0.001354265
2022-05-09,AAPL,154.9299927,155.8300018,151.4900055,152.0599976,151.1574097,-0.004313291,0.001640644
2022-05-10,AAPL,155.5200043,156.7400055,152.9299927,154.5099945,153.592865,-0.00394411,0.001826551
2022-05-11,AAPL,153.5,155.4499969,145.8099976,146.5,145.6304169,-0.00630996,0.002170373
2022-05-12,AAPL,142.7700043,146.1999969,138.8000031,142.5599976,141.7137909,-0.006984788,0.002518949
2022-05-13,AAPL,144.5899963,148.1000061,143.1100006,147.1100006,146.2368011,-0.00532838,0.002685973
2022-05-16,AAPL,145.5500031,147.5200043,144.1799927,145.5399933,144.6760864,-0.005626861,0.002835428
2022-05-17,AAPL,148.8600006,149.7700043,146.6799927,149.2400055,148.3541412,-0.005569218,0.002922466
2022-05-18,AAPL,146.8500061,147.3600006,139.8999939,140.8200073,139.9841309,-0.006818454,0.003056958
2022-05-19,AAPL,139.8800049,141.6600037,136.6000061,137.3500061,136.534729,-0.007024809,0.003157605
